2023-05-15 14:05:150 INFO  HomePage :80 - mouseHoverOnGearMenuOption [[ChromeDriver: chrome on WINDOWS (b5f8fb10c0f8bc56227b93413595cdb3)] -> xpath: //span[normalize-space()='Gear']]
2023-05-15 14:05:482 INFO  HomePage :89 - mouseHoverOnGearMenuAndClicksOnBagsOption [[ChromeDriver: chrome on WINDOWS (b5f8fb10c0f8bc56227b93413595cdb3)] -> xpath: //span[normalize-space()='Gear']]
2023-05-15 14:05:228 INFO  HomePage :45 - Mouse Hover On Men Menu Tab [[ChromeDriver: chrome on WINDOWS (813fb8980e3874ddbe991ca3a7390280)] -> xpath: //span[normalize-space()='Men']]
2023-05-15 14:05:410 INFO  PantsPage :19 - Mouse Hover On Men Pants Product Name Option Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Cronus Yoga Pant']'
2023-05-15 14:05:227 INFO  HomePage :19 - Mouse Hover On Women Menu Tab [[ChromeDriver: chrome on WINDOWS (815837c673108205b1947868b66957e0)] -> xpath: //span[contains(text(),'Women')]]
2023-05-15 14:05:724 INFO  HomePage :27 - Mouse Hover On Women Top Menu Option [[ChromeDriver: chrome on WINDOWS (815837c673108205b1947868b66957e0)] -> xpath: //a[@id='ui-id-9']//span[contains(text(),'Tops')]]
2023-05-15 14:05:293 INFO  HomePage :19 - Mouse Hover On Women Menu Tab [[ChromeDriver: chrome on WINDOWS (f14ef7b9765b0d5194b64c871d6c59a1)] -> xpath: //span[contains(text(),'Women')]]
2023-05-15 14:05:822 INFO  HomePage :27 - Mouse Hover On Women Top Menu Option [[ChromeDriver: chrome on WINDOWS (f14ef7b9765b0d5194b64c871d6c59a1)] -> xpath: //a[@id='ui-id-9']//span[contains(text(),'Tops')]]
2023-05-15 15:05:896 INFO  HomePage :80 - mouseHoverOnGearMenuOption [[ChromeDriver: chrome on WINDOWS (6e317b60fd90c66e4170542455bf295f)] -> xpath: //span[normalize-space()='Gear']]
2023-05-15 15:05:243 INFO  HomePage :89 - mouseHoverOnGearMenuAndClicksOnBagsOption [[ChromeDriver: chrome on WINDOWS (6e317b60fd90c66e4170542455bf295f)] -> xpath: //a[@id='ui-id-25']]
2023-05-15 15:05:129 INFO  HomePage :45 - Mouse Hover On Men Menu Tab [[ChromeDriver: chrome on WINDOWS (9bffa7d2f39b1f1ca173b142feef7e68)] -> xpath: //span[normalize-space()='Men']]
2023-05-15 15:05:331 INFO  PantsPage :19 - Mouse Hover On Men Pants Product Name Option Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Cronus Yoga Pant']'
2023-05-15 15:05:846 INFO  HomePage :19 - Mouse Hover On Women Menu Tab [[ChromeDriver: chrome on WINDOWS (f28aa132386c0894bcb792656eeb2cfb)] -> xpath: //span[contains(text(),'Women')]]
2023-05-15 15:05:352 INFO  HomePage :27 - Mouse Hover On Women Top Menu Option [[ChromeDriver: chrome on WINDOWS (f28aa132386c0894bcb792656eeb2cfb)] -> xpath: //a[@id='ui-id-9']//span[contains(text(),'Tops')]]
2023-05-15 15:05:905 INFO  HomePage :19 - Mouse Hover On Women Menu Tab [[ChromeDriver: chrome on WINDOWS (e45ab7e0a4d6e6e2b638ac37aa17f9c5)] -> xpath: //span[contains(text(),'Women')]]
2023-05-15 15:05:448 INFO  HomePage :27 - Mouse Hover On Women Top Menu Option [[ChromeDriver: chrome on WINDOWS (e45ab7e0a4d6e6e2b638ac37aa17f9c5)] -> xpath: //a[@id='ui-id-9']//span[contains(text(),'Tops')]]
2023-05-15 15:05:856 INFO  HomePage :81 - mouseHoverOnGearMenuOption [[ChromeDriver: chrome on WINDOWS (c9cc77d5fef27baf054404f4ad8ff14a)] -> xpath: //span[normalize-space()='Gear']]
2023-05-15 15:05:280 INFO  HomePage :91 - mouseHoverOnGearMenuAndClicksOnBagsOption [[ChromeDriver: chrome on WINDOWS (c9cc77d5fef27baf054404f4ad8ff14a)] -> xpath: //a[@id='ui-id-25']]
2023-05-15 15:05:711 INFO  HomePage :109 - verifyOvernightDuffleTextMethod [[ChromeDriver: chrome on WINDOWS (c9cc77d5fef27baf054404f4ad8ff14a)] -> xpath: //span[@class='base']]
2023-05-15 15:05:481 INFO  HomePage :46 - Mouse Hover On Men Menu Tab [[ChromeDriver: chrome on WINDOWS (7425fee5cfb12aec49cee9c4cba711b3)] -> xpath: //span[normalize-space()='Men']]
2023-05-15 15:05:656 INFO  PantsPage :19 - Mouse Hover On Men Pants Product Name Option Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Cronus Yoga Pant']'
2023-05-15 15:05:15 INFO  HomePage :20 - Mouse Hover On Women Menu Tab [[ChromeDriver: chrome on WINDOWS (bbdc3ba83e29474b578662f9fffd4bbd)] -> xpath: //span[contains(text(),'Women')]]
